ImageId,Width,Height,PredictionString
n04005630_78665,500,324,n04005630 0 0 499 323
n02012849_9910,500,376,n02012849 50 46 345 366
n04447861_3856,500,375,n04447861 42 24 170 186 n04447861 292 28 430 198 n04447861 168 24 292 190 n04447861 299 238 443 374 n04447861 160 195 294 357 n04447861 3 214 135 356
n01677366_13449,500,216,n01677366 0 19 459 202
n01983481_17635,500,333,n01983481 34 137 255 264
n04070727_39501,500,375,n04070727 0 0 499 374
n03837869_3303,500,375,n03837869 198 10 288 374
n02276258_9621,380,450,n02276258 39 67 347 349
n02086910_14484,364,268,n02086910 41 12 280 265
n01950731_12969,500,402,n01950731 202 144 277 243
n02091134_2243,404,500,n02091134 37 93 356 498
